"순번","자치구","거리","소요시간","추천수","연계지하철역","연계코스","연계공원","교통편","상세코스","설명","코스명","코스대분류","강남강북구분","코스레벨"
"62","강북구,도봉구","2.06km","1시간","0","4호선","","","진입로 1 : 미아역 지하철 4호선 2번 출입구 <br />    진입로 2 : 강북구민운동장.4단지 버스 정류장 마을버스 강북09, 11 <br />    진입로 3 : 번동한솔솔파크 버스 정류장(09-232) 지선버스 1124 <br />    진입로 4 : 도보진입  <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 오동공원~꽃샘길~율곡놀이터~신망애정자"," 오패산은 강북구의 미아동과 번동, 성북구의 장위동, 월곡동에 위치해 있고, 도시주거지 한복판에 있으면서도 자연상태가 잘 보존된 편이다. 일명 빡빡산(?), 매봉산 등으로도 불린다. 123m의 오패산과 115m 봉우리, 그리고 135m의 벽오산 봉우리로 이루어져 있다. 기슭에는 예부터 오얏나무가 많이 자생하여 봄이 되면 수려한 오얏나무 꽃이 만발하다.","오패산 나들길","생태문화길","강북권","중급"
"63","중랑구","4.02km","2시간","0","7호선","","","진입로 1 : 용마산역 지하철 7호선 2번 출구  <br />    진입로 2 : 용마한신아파트 버스 정류장(07-201) 일반 70 간선버스 320 지선버스 2012  <br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 용마폭포공원~용마산 우수조망명소~깔딱고개~사가정공원"," 동양 최대의 인공폭포인 용마폭포공원에서 시작하여, 용마산의 수수하고 차분한 숲길을 걸어보는 즐거움이 있는 노선이다. 해발 287m의 용마산은 오르기 어렵지 않고 편안한 산행을 약속한다. 용마산 숲길을 지나 조선 시대의 문신 서거정의 시 4편이 새겨져있는 사가정공원에 이르러 시 한수와 함께 조금은 힘들었던 산행을 마무리할 수 있다.","용마산 나들길","생태문화길","강북권","고급"
"64","용산구,중구","3.30km","1시간","0","4호선,중앙선","","","진입로 1 : 이촌역 지하철 중앙선, 4호선 2번 출구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 국립중앙박물관~거울못~용산가족공원~보신각종"," 한국 최대 박물관인 국립중앙박물관을 거쳐 도심 속의 녹색쉼터 용산가족공원을 탐방하는 코스이다. ","용산가족 산책길","생태문화길","강북권","중급"
"65","양천구","2.63km","1시간30분","0","5호선,9호선","","","진입로 1 : 용왕산입구 버스 정류장 마을버스 양천02 <br /> - 지하철 5호선 오목교역 1번 출구 오목교역.대학학원 버스 정류장에서 마을버스 양천02 탑승 가능 <br />     진입로 2 : 신목동역 지하철 9호선 1번출구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.     ","용왕산 진입로~용왕정~달거리약수터"," 1971년 8월 건설부고시에 의하여 목동 제1공원으로 지정되었다. 이후 1989년에 도시근린공원으로 개발되었다. 야산에 위치하여 시민들의 휴식공간으로 활용된다. 3코스의 산책로가 조성되어 있으며, 공원 내에는 1997년 5월 완공한 목동종합사회복지관이 들어서 있다. 연간 12만 명이 찾는다.","용왕산 나들길","생태문화길","강남권","초급"
"66","서초구","3.86km","2시간","0","3호선","","","진입로 : 남부터미널역 지하철 3호선 4번 출구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다."," 남부터미널역~소망탑 전망대","우면산은 서초구의 가장 대표적인 산으로 다양한 편의시설과 약수터가 중턱과 능선, 진입로의 요소요소에 잘 구비되어 있어 걷기 환경이 매우 좋다. 우면산 정상이라 할 수 있는 소망탑 전망대에서는 서울이 한 눈에 내려다보이는 장관을 만끽할 수 있다.","우면산 나들길","생태문화길","강남권","중급"
"67","강북구,도봉구","7.95km","2시간30분","0","1호선,4호선","","","진입로 1 : 우이동도선사입구 버스 정류장(09-101) 간선버스 130 지선버스 1161 <br /> - 지하철 4호선 쌍문역 2번 출구 버스 정류장 쌍문역(10-016)에서 간선 130번 탑승 가능 <br /> - 지하철 1, 4호선 창동역 1번 출구 버스 정류장 창동역동측도봉방면(10-266)에서 지선 1161번 탑승 가능 <br /> 진입로 2 : 우이령 오봉산석굴암입구 버스 정류장(39-137) 일반 34 간선버스 704 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 방문자서비스센터~소귀고개 정상~오봉전망대~석굴암","우이령 길은 서울 우이동과 경기도 양주시를 연결하는 6.8km의 소로였으나. 1968년 1.21사태 당시 무장공비 침투로로 이용된 후 안보상의 이유로 폐쇄되었다가, 결국 2009년 7월 10일에 탐방객 수를 제한하는 조건으로 우이령이 재개방되었다. 특히 우이령 구간은 맨발로 걸을 수 있도록 정비되어 자연을 마음껏 느낄 수 있다.<br /> ※ 매일 1,000명에게만 개방을 하며 사전예약을 해야 탐방이 가능하다. 입장은 무료이지만 출입시간은 오전09시부터 오후02시까지다.<br /> ※ 사전예약 홈페이지 : <a href = 'http://reservation.knps.or.kr/information/trailInfo.action?trailCd=2'>http://reservation.knps.or.kr/information/trailInfo.action?trailCd=2</a>","우이령 나들길","생태문화길","강북권","중급"
"68","강서구","2.51km","1시간 50분","0","5호선","","","진입로 1 : 우장산역 지하철 5호선 1번 출입구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다."," 우장상공원 출입구~우장산생태육교~한국폴리텍대학앞"," 우장산공원의 두 봉우리 중 새마을탑이 서 있는 북동쪽을 검두산, 서남쪽의 폴리텍대학이 있는 산을 원당산이라고 부르며, 이 두 곳을 합쳐 우장산이라고 부른다. 이 이름의 유래는 옛날 가뭄이 들었을 때 양천 현감이 이곳에서 기우제를 올린 것에서 유래한다. 공원 외곽으로는 남산순환산책로를 연상시키는 포장산책로가 잘 나 있으며, 봉우리 부근으로는 숲 속으로 난 흙길 산책로가 거미줄처럼 뻗었다.","우장산 공원 산책길","생태문화길","강남권","초급"
"69","노원구","1.12km","1시간","0","1호선","","","진입로 1 : 인덕삼거리 버스 정류장(11-331) 간선버스 163 지선버스 1017, 1130, 1133, 1137, 1140  <br /> - 지하철 1호선 월계역 3번 출구에서 월계근린공원으로 이동 가능(약 500m) <br /> 진입로 2 : 월계삼거리 버스 정류장(11-286) 간선버스 261 지선버스 1017, 1137 <br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 체력장"," 아기자기한 오솔길이 얽혀있어 걷기 좋은 근린공원이다. (무단경작지가 들어서 있는 영축산근린공원은 도심텃밭과 목공, 염색체험을 할 수 있도록 조성방안 검토 중)","월계근린공원 산책길","생태문화길","강북권","초급"
"70","마포구","19.29km","4시간30분","0","6호선","","","진입로 1 : 월드컵경기장역 지하철 6호선 3번 출입구 <br />    진입로 2 : 월드컵경기장역 지하철 6호선 2번 출입구 <br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   ","매봉산입구~난지천공원~노을공원~메타세콰이어길~하늘공원~평화의공원","2002 월드컵 함성이 그리운 월드컵공원 주변에는 뜻밖의 볼거리들이 많다. 크게 알려지지 않은 매봉산에서부터 이제는 서울의 명소가 된 하늘공원과 메타세콰이어 산책로까지 멋진 길이 이어진다. 짧지 않은 거리지만 구간이 바뀔 때마다 새로운 풍광이 펼쳐져 지루하지 않고, 구간 구간마다 회귀로가 열려 있어 체력에 따른 거리조절도 얼마든지 가능하다.<br />※평지나 다름없는 공원들은 초보자들도 쉽게 걸을 수 있다. 난지천의 생태공원, 하늘과 가장 가깝다는 하늘공원 등 다양한 테마의 공원들은 특색 있는 볼거리와 산책길을 제공한다. 가을 노을이 가장 아픔답다는 노을 공원은 해질 무렵 연인들의 데이트 코스와 노을 촬영지로도 유명한 코스이다.","월드컵공원 나들길","생태문화길","강북권","고급"
"71","종로구","8.12km","2시간","0","1호선,3호선,5호선","","","진입로 1 : 종로3가역 지하철 1, 3, 5호선 1번 출입구 <br />    진입로 2 : 경복궁역 지하철 3호선 5번 출입구 <br />    진입로 3 : 안국역 지하철 3호선 2번 출입구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.           "," 인사동 네거리~경복궁매표소~청와대분수앞~북촌한옥마을길","서울 도심에서 맛볼 수 있는 역사와 문화가 고르게 어우러진 코스이다. 경복궁 내부의 여러 전각을 둘러보고 고풍스런 담장길을 따라 걷다 푸른 기와가 상징처럼 알려진 청와대의 앞길을 걸어 삼청동 카페길에 다다른다. 이후 서울성곽까지도 갈 수 있는 삼청공원을 산책한 후 서울에서 가장 한옥이 잘 보존되어 있다는 북촌한옥마을의 고즈넉한 길을 밟는다. 서울 도심에 이런 역사와 문화가 깃든 길이 있다는 것이 내내 감사할 따름이다.","인사동삼청동 나들길","생태문화길","강북권","중급"
"72","종로구","3.54km","1시간 30분","0","3호선","","","진입로 1 : 경복궁역 지하철 3호선 1번 출입구 <br />    진입로 2 : 도보진입(통일로 18나길)  <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 단군성전~인왕스카이웨이 산책로~만수천약수터~범바위기점"," 단군성전과 소공원 길을 거쳐 성 외곽 길을 걷다보면 초입부터 바위틈에 자라는 소나무와 바위가 잘 어우러져 다양한 형상의 기암괴석을 만나게 된다. 돼지바위에서 조망은 독립문과 서대문형무소역사박물관, 독립공원 전체를 한눈에 볼 수 있다. 이른 봄 무악공원 주변에는 천상화원으로 개나리군락과 산수유 꽃의 노랑물결로 환상적인 분위기를 느낄 수 있다. ","인왕산 나들길","생태문화길","강북권","중급"
"73","강동구","5.21km","3시간","0","5호선","","","진입로 1 : 일자산입구 버스 정류장(25-185) 간선버스 351 <br /> - 지하철 5호선 강동역 4번 출구 강동역(동신중학교) 버스 정류장(25-126)에서 간선버스 351번 탑승 가능 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.","길동자연생태공원~강동그린웨이 가족캠핑장~둔촌이집선생 둔굴"," 노선의 대부분은 차지하는 일자산은 이름 그대로 능선이 군더더기 없이 일(一)자로 뻗은 산이다. 때문에 중간 중간 갈림길이 많아도 큰 길을 따라 곧장 질러가면 3㎞에 달하는 울창한 숲길을 고스란히 두 발에 담아낼 수 있다. 특히 아름드리나무들이 많아 마치 큰 산에 들어선 듯한 청량감이 일품이다. 강동구가 야심차게 추진하고 있는 강동그린웨이를 중심으로 둔촌동 생태경관보전지역, 허브천문공원 및 길동생태공원 등 강동의 주요 명소를 연결한 코스이다. 야트막한 능선으로 뻗은 일자산 숲길을 따라 자연의 향기를 만끽할 수 있으며,  길동생태공원(사전예약 필수)은 우리나라의 대표적인 생태공원으로 계절별로 다양한 체험 프로그램이 마련되어 있다.<br />※봄이면 꽃향기가 가득한 허브천문공원, 그리고 동?식물의 모습을 관찰 할 수 있는 길동생태공원 등을 돌아보는 볼거리 등 아이들과 무리 없이 즐길 수 있는 요소들을 많이 포함한 가족 맞춤형 코스이다.","일자산 숲 나들길","생태문화길","강남권","중급"
"74","용산구,중구","1.63km","40분","0","4호선,6호선","","","진입로 1 : 삼각지역 지하철 4, 6호선 3번 출구(또는 삼각지역 12번 출구에서 전쟁기념관으로 바로 진입)  <br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 옥외전시장~전사자영비"," 호국 자료의 수집?보존?전시, 전쟁의 교훈과 호국정신 배양, 선열들의 호국 위훈 추모를 목적으로 1990년 9월 착공해 1993년 12월 완공하고, 1994년 6월 10일 개관한 기념관이다. 연건평 2만 5천 평에 지하 2층, 지상 4층 규모이며, 호국추모실?전쟁역사실?한국전쟁실?해외파병실?국군발전실?대형장비실 등 6개 전시실로 구분되어 있는 전쟁기념관과 옥외에 조성된 공원을 둘러보며 역사를 되새길 수 있는 코스이다.","전쟁기념관 산책길","생태문화길","강북권","초급"
"75","성북구","2.23km","1시간30분","0","4호선","","","진입로 1 : 산장빌라 버스 정류장(08-357) 지선버스 1162 <br /> - 지하철 4호선 성신여대입구역 6번 출구 성신여대입구 버스 정류장(08-270)에서 지선버스 1162번 탑승 가능 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 정릉 매표소~홍살문~정자각~비각~정릉"," 한성대입구역에서 북악스카이웨이를 넘어가는 이 길은 태조 이성계의 계비인 신덕왕후 강씨를 모신 정릉으로 가는 길이다. 신덕왕후 강씨에 대한 미움이 대단했던 태종이 후에 옮겨 온 능이지만 능 주변으로는 걷기 좋은 산책로가 옹골차게 뿌려져 있다. 산책로 곳곳엔 시원한 약수터와 물이 졸졸 흐르는 작은 계곡도 있다. 성북 구민회관부터 북악스카이웨이 입구까지는 메타세콰이어나무가 시원한 그늘을 드리우고 있다. <br />※숨겨진 보물 같은 정릉숲길에 들어서면 울창한 참나무와 소나무가 우거져 주택가 안쪽에 있는 길이라고는 믿기지 않을 만큼 도시의 소음은 어느새 멀어지고 새소리 물소리에 청량감이 전해져 온다. 잘 조성된 정릉 내 산책로는 작은 계곡과 약수터를 자주 만날 수 있으며, 어린아이뿐만 아니라 누구나 편안하게 걸을 수 있어 가을에 가족들이 가볍게 걷기에 적합하다.<br />  <font color='red'>※휴관일(월요일), 관람요금, 관람시간, 매표시간 등을 문화재청 정릉 홈페이지에서 확인하실 수 있습니다.</font><br />   ※홈페이지 : http://seoul.cha.go.kr<br /> ※문의전화 : 02-914-5133","정릉숲 산책길","생태문화길","강북권","초급"
"76","중랑구","5.68km","2시간","0","6호선,7호선","","","진입로 1 : 태릉입구역 지하철 6, 7호선 8번 출구 <br />    진입로 2 : 사가정역 지하철 7호선 3번 출구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 사각문~묵동수림공원~수림대장미원"," 중랑천제방은 이렇다 할 공원ㆍ녹지공간이 없는 중랑천 일대의 주민들에게 휴식과 운동, 여가를 제공해주는 중요한 코스이다.","중랑천제방장미 벚꽃길","생태문화길","강북권","초급"
"77","중랑구","3.73km","2시간","0","중앙선","","","진입로 : 양원역 지하철 중앙선 2번 출구 <br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.     "," 중랑캠핑숲입구~망우산공원입구~나들이공원"," 개발제한구역 내 비닐하우스 등으로 훼손된 곳을 복원하여 학생소풍 및 가족단위 피크닉을 주제로 한 체험공원입니다. 인위적 시설을 최소화하였으며, 건강한 숲을 주제로 한 생태학습 공원입니다. 또한 소규모 야외무대 설치 등 청소년 중심의 문화중심 공원으로 조성되었다. ","중랑캠핑숲나들길","생태문화길","강북권","중급"
"78","은평구","2.76km","1시간","0","3호선","","","진입로 1 : 구파발역 지하철 3호선 1번 출입구 <br />    진입로 2 : 도보진입(우물골 두산위브 7단지) <br />  진입로 3 : 도보진입(서울둘레길 연계) <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 구파발역 1번 출입구~진관공원 전파기지국~진관초 방향 내리막길~정자"," 귀모양을 닮았다 하여 붙여진 이(耳)말산에 위치한 진관공원은 진행 중인 은평뉴타운 내 주민들의 산책로로 이용되고 있는 진관공원은 은평뉴타운 및 북한산의 파노라믹한 우수한 경관이 한눈에 들어와 뉴타운사업 완료시 이용객의 수요 증가를 예상할 수 있다.","진관공원 나들길","생태문화길","강북권","초급"
"79","성북구","2.23km","1시간","0","6호선","","","진입로 1 : 상월곡역 지하철 6호선 4번 출입구 <br />    진입로 2 : 도보진입 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   ","천장산 전망대"," 천장산은 문화적 가치가 높은 사적 204호인 조선 왕릉인 의릉과 도심에서는 보기 드문 울창한 자연림을 볼 수 있는 길이다.","천장산 산책길","생태문화길","강북권","초급"
"80","관악구,금천구","5.87km","1시간 50분","0","2호선","","","진입로 1 : 서울대입구역 지하철 2호선 3번 출구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   ","청룡산 공원~누수식 생태연못~청룡상 산림욕장","청룡산은 서울대입구역과 서울대정문 사이에 위치한 조그마한 산으로 주택과 인접하고 있어 간단히 산책을 즐길 수 있는 곳으로 계곡물을 이용 많은 습지가 조성되어 있다. <br /> ※경사가 완만하고 물이 풍부하여 생태연못 및 유아숲체험장이 조성되어 특히 봄에 아이들과 천천히 거닐며 자연생태를 관찰 할 수 있다.","청룡산 나들길","생태문화길","강남권","초급"
"81","노원구,도봉구","4.59km","1시간30분","0","1호선","","","진입로 1 : 녹천역 지하철 1호선 4번 출구  <br />    진입로 2 : 도보진입 <br />    진입로 3 : 인덕대학교 버스정류장(11-309) 지선 1130, 1133, 1161<br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.               "," 산사나무 군락지"," 초안산은 아주 작은 산이지만, 면적에 비해서 믿기지 않을 정도의 아기자기한 길이 고루 퍼져있다. 조선시대 내시들의 묘가 많아 ‘내시네 산’이라고도 불렸는데, 조선시대의 분묘가 무려 1,000여기나 산재해 있다. 한국 전쟁 때 국군이 이곳에 ‘청동 저지선’을 치고 북한군과 치열한 접전을 벌여 지금도 당시의 방공호가 곳곳에 남아 있다. <br />※봄에 초안산 인근 우이천길을 걸으면 흐드러진 벚꽃 속에서 봄을 온몸으로 맞이할 수 있다.<br />※2013년‘G마켓, 생명의숲이 함께하는 초록숲길 만들기’사업 대상 노선으로 노선 전체에 초록숲길 안내표지판 설치 ","초안산 나들길(초록숲길)","생태문화길","강북권","초급"
"82","서대문구","13.04km","4시간","0","","","","진입로 1 : 홍제역 지하철 3호선 1번 출입구 <br />    진입로 2 : 도보접근 <br />    진입로 3 : 녹번역 지하철 3호선 1번 출입구 <br />    진입로 4 : 상명대후문 버스정류장(01-584) 마을버스 종로13 <br /> 진입로 5 : 상명대입구 버스정류장(01-287)지선버스 7212, 1020, 1711, 7022 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 인왕산~개미마을~탕춘대성문~상명대~현통사~백사실계곡"," 이 길은 조선시대에 축조된 탕춘대성 성곽을 따라 걷는 홍제동 산책로다. 북한산의 지맥을 이어받아서일까. 탕춘대성 오솔길은 높지 않으면서도 장쾌한 조망을 선사한다. 홍제동에서는 홍지문, 오간수문과 고려시대의 석불인 보도각 백불을 볼 수 있다. 이중 숙종 45년에 세워진 홍지문의 편액은 숙종의 친필로 홍지문은 한성의 북쪽에 있는 문이어서 한북문이라고도 불렸다. 탕춘대성을 서울성과 혼동하는 경우가 있지만 탕춘대성은 서울성과 북한산성을 잇는 성곽을 말한다.  <br />  <div class='table_css'> <table  cellpadding='0' cellspacing='0' width='100%' summary='세부코스정보 관련 테이블 입니다.' class='table_sub mar_tp20'> <caption>※ 세부코스</caption> 	<tr> 		  <th colspan='2' scope='col' class='end'>세부코스</th> 		  <th scope='col'>거리(km)</th> 		  <th scope='col'>소요시간</th> 		  <th scope='col'>비고</th> 	  </tr> 	<tr> 		<td rowspan='3' class='end' >탕춘대성길</td> 	</tr> 	<tr> 		  <td>1</td> 		  <td>6.7</td> 		  <td>2시간</td> 		  <td>홍은동 교차로(홍제역)~탕춘대성문~홍은동 교차로(홍제역)</td> 	</tr> 	<tr> 	 	  <td>2</td> 		  <td>6.9</td> 		  <td>2시간</td> 		  <td>홍은동 교차로(홍제역)~기차바위~상명대입구</td> 	</tr>   	 </table> </div>","탕춘대성 숲 나들길","생태문화길","강북권","고급"
"83","용산구,중구","1.88km","1시간","0","","","","진입로 1 : 순천향대학병원 버스 정류장(03-163) 직행버스 9007, 9003, 9300, 7900, 8800, 9001, 1005-1, 5500, 5500-2, 5500-1, 9000, 1150, 5007, 5000, 5005, 8100, 광역버스 9401, 9401B  <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 단국대학교~매봉산공원~힐사이드아파트~남산공원길"," 도심 속 작은 숲 속으로 인근 주민들이 산책을 즐기며 남산과도 이어진다.","한남매봉공원 산책길","생태문화길","강북권","초급"
"84","동작구","7.34km","4시간30분","0","4호선,9호선","","","진입로 1 : 동작역 지하철 4, 9호선 8번 출구 <br />      진입로 2 : 삼성래미안 롯데캐슬 버스 정류장 20-503 동작 마을버스 07, 16 <br />      진입로 3 :  동작역 지하철 4, 9호선 3번 출입구 <br />      진입로 4 : 정금마을 20-701 동작 마을버스 07 <br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.     "," 정국교~박정희대통령묘소입구~호국지장사~육탄10용사 현충비"," 군인?군무원으로서 사망한 사람과 국가에 공이 있는 사람의 유골 또는 시신을 안장한 국립현충원을 도는 산책로이다. 200m 정도 되는 이 나무계단만 올라가면 국립현충원 외곽을 따라 도는 산책로가 편안한 길을 펼쳐낸다.","현충원 나들길","생태문화길","강남권","중급"
"85","관악구,금천구","3.95km","3시간","0","1호선,7호선","","","진입로 1 : 범일운수종점 버스정류장(18-708) 지선버스 5413,5525,5537,5617,5619,5620 <br /> - 지하철 1, 7호선 가산디지털단지역 1번 출구 가산디지털단지역 버스 정류장(18-209)에서 지선버스 5537번 탑승 가능 <br /> 진입로 2 : 호압사입구(18-137) 간선버스 152, 지선버스 5517,6515,8541 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   ","시흥계곡 입구~산복약수터연못~생태통로~호암폭포~호압사"," 호압사에서 산기슭공원에 이르는 생태 탐방로로서 식생이 다양하다. 자연형 돌계단 등을 조성해 산책로를 정비하여 지역주민의 휴식공간으로 각광 받고 있다. 호암산은 해발 393m로 관악산에서 이어진 삼성산의 지맥으로 금천구의 진산이며 관악산 전체의 서쪽에 위치하고 산세가 북쪽(한양)을 바라보는 호랑이 형상을 닮았다 하여 붙여진 이름이라고 한다. 호암산에는 호암산성과 한우물, 석구상, 호압사, 불영사 등 많은 사적과 유서깊은 사찰이 있으며, 등산로가 가파르지 않고 도심에서 쉽게 접근할 수 있어 금천구, 광명시, 안양시민들의 산행으로 많이 찾는 곳이다. 호암산 정상에서 바라보는 서울시내 풍광과 서남쪽의 전경은 그지없이 아름다워 발길을 멈추게 한다.","호암산 나들길","생태문화길","강남권","고급"
"86","마포구","3.12km","2시간","0","2호선,6호선,공항철도","","","진입로 1 : 광흥창역 지하철 6호선 1번 출입구 <br />    진입로 2 : 홍대입구역 지하철 2호선, 공항철도 7번 출입구 <br />    진입로 3 : 홍대입구역 지하철 2호선, 공항철도 9번 출입구 <br />    진입로 4 : 상수역 지하철 6호선 2번 출입구 <br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 공민왕 사당~와우공원~근현대디자인박물관~홍대걷고싶은길"," 광흥창역에서 시작하는 이 길은 자연과 젊음을 동시에 만끽할 수 있는 길이다. 시작부터 마포의 역사가 서린 공민왕 사당을 만난 후 와우산 산책을 하고, 지칠 때 즈음 와우산 약수터에서 시원한 물 한 잔을 할 수 있다. 산에서 내려오면 홍대 어린이공원, 걷고 싶은 거리, 피카소 거리 등 신선하고 충격적인 문화 속 산책을 하게 된다.","홍대예술의거리 나들길","생태문화길","강북권","중급"
"87","동대문구","1.83km","1시간","0","6호선","","","진입로 1 : 고려대역 지하철 6호선 3번 출구 <br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 홍릉수목원 입구~조경인의 숲"," 안암동 고려대학교에서 회기동 경희대학교로 넘어가는 도로변에 위치한 국립산림과학원. 그 안에 살아 숨 쉬는 홍릉수목원은 우리나라 최초의 수목원으로 44만㎡ 면적에 수많은 국내식물이 식재되어 있다. 형형색색의 기화요초는 거대한 정원을 연상하게 만들고 아름드리나무들 사이로 조성된 2㎞ 산책로는 ‘도심 속 오아시스’를 느끼게 한다. <font color = 'red'>단, 홍릉수목원은 식물 연구 중심의 수목원이라 평일에는 일반인에게 개방되지 않으므로 토요일, 일요일에 이용해야 한다(무료)</font> <br />  ※관람시간 : 겨울철(11~2월) 10:00~16:00, 여름철(3~10월) 10:00~17:00<br /> ※자세한 사항은 국립산림과학원(홍릉숲)홈페이지에서 확인하실 수 있습니다.<br /> ※문의전화 : 02-961-2552","홍릉수목원길","생태문화길","강북권","초급"
